Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10191352,The Sisters Brothers,Patrick deWitt,"deWitt, Patrick",John Pruden,"=""1611201071""","=""9781611201079""",2,3.84,"Dreamscape, LLC",Audio CD,8,2011,2011,2014/05/27,2013/06/23,book-club,book-club (#177),read,"I wonder if something is wrong with me.  This book has garnered prizes and rave reviews.  What do those other people see in it that I can't?<br/><br/>Bruce liked it.  But he was alone in that.  Carolyn likened it to a story told by a small child - and then this happened, and then that did and then... - a pointless meandering with no real plot and no character development of any sort.  The violence was disturbing and came across as gratuitous.  It might indeed have been true to life - the Gold Rush was a violent time - but it was off-putting nonetheless.  <br/><br/>It's a picaresque - and as such is supposed to be episodic, with no plot or character development.  I get that.  But I still don't see what the point of the book was.  I suspect that deWitt wrote it solely as an experiment.  While someone else posited that it was because he lost a bet.  (And I thought that a picaro could be a rouge, but was supposed to stop just shy of committing a crime.  He surely wouldn't be a cold-blooded murderer.)<br/>",,,1,,,0,,,,,
2187,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0312422156""","=""9780312422158""",5,4.01,Picador USA,Paperback,529,2003,2002,2006/06/13,2008/03/29,book-club,book-club (#25),read,"Mostly well-liked. Mary just barely finished it. Stephanie didn't even start it, but tried to dredge up memories of the first time she read it. Bill read it for the first time, and would like to read it again, but, at 529 pages, not anytime soon. I read it for the second time, and liked it better this time around. And Jenna, having already read it once, decided to listen to it on tape this time around, but is only about a third of the way through. (And Carolyn, who had planned to be here, didn't show. Couldn't get the tape, or couldn't find the time?) The book did play like a Greek tragedy, where everyone's fate is preordained. (And perhaps Eugenides expected more knowledge of classical theatre in his audience than actually exists.) Evidentally, he wrote it in the first person so as to be able to use non-gender-specific pronouns, and so avoid the he/she conflicts that we readers were dealing with in thinking about Calli/Cal. Most (maybe all) of the events external to the family were real historical events that he worked into the plot. To Bill, who grew up near Detroit (but not in Gross Point), the description of the race riots was very true to life. (Now why did he expend so much energy on things like the burning of Smyrna and the riots in Detroit? Were the scenes put in to titilate the reader? Or were they merely plot devices, to get the family to embark on another move? Or are they metaphors for the transformation that the family, and ultimately Cal(i), are going through.",,,1,,,0,,,,,
301229,The Oxford Murders,Guillermo Martínez,"Martínez, Guillermo",Sonia Soto,"=""014303796X""","=""9780143037965""",3,3.33,Penguin Books,Paperback,197,2006,2001,2014/05/04,2014/04/29,mystery,mystery (#121),read,"Murder, math, music and mysticism, set in Oxford in 1993, the summer that Fermat's Last Theorem was proved.  (Was it really so long ago?)  Early in the book one of the characters mentioned Heisenberg's uncertainty principle.  And, indeed, it seemed that the mere act of observation did have an effect on the matters observed.  <br/><br/>A satisfying mystery.",,,1,,,0,,,,,
14869734,The Case for God,Karen Armstrong,"Armstrong, Karen",,"=""0307702391""","=""9780307702395""",4,3.81,Books on Tape,Audio CD,,2009,2001,2014/04/29,2014/04/08,,,read,"<br/>A work of popular theology.  I thought at the beginning that it was aiming to be a survey of all religions of all times.  But it was actually only interested in the religions that had influenced Judaism, Christianity and Islam.  And of those the focus was mainly on Christianity.  Particularly the Christianity of Western Europe and the Americas. <br/><br/>One of her premises is that Biblical literalism is a recent development.  Until the later part of the 19th century everyone saw the text of the Bible as metaphors or stories, not as statements of actual historical fact.  Only after the rise of science did anyone think to look for explanations of natural phenomena in the Bible.<br/><br/>She believes in a division of spheres, in which science teaches us how the world works, and religion teaches us morality and how to live.  The product of a religious life is peace and compassion, and anyone who uses religion as an excuse to cause harm to another is guilty of idolatry, recreating God in their own image to further their own squalid ends.<br/><br/>There were a couple of statements that were new to me.  One, that Jesus was only one of many rabbis of his time embracing the new morality of the Golden Rule.  And the other was that Jesus never claimed divinity, nor did the early Christian church claim it for him.  The epithet of ""Son of God"" was often bestowed on Jewish prophets as an honor, not a mark of divinity.<br/><br/>A recurring theme of the book was that God is past knowing, defining, or describing.  We can try, and often do, but it's a fruitless quest, and in the end we falter, seeing the uselessness of words, and fall into an awestruck silence.<br/><br/>It is ironic that it took her 14 CDs and 17 hours to say this.<br/>",,,1,,,0,,,,,
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye","=""0143039563""","=""9780143039563""",4,3.91,Penguin Classics,Paperback,244,2006,1875,,2013/07/15,,,read,,,,1,,,0,,,,,
234225,"Dune (Dune Chronicles, #1)",Frank Herbert,"Herbert, Frank",Domingo Santos,"=""0340839937""","=""9780340839935""",3,4.23,Hodder & Stoughton,Paperback,604,2006,1965,,2013/06/12,,,read,,,,1,,,0,,,,,
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",5,4.17,Bantam,Hardcover,244,2004,1951,,2013/06/12,,,read,,,,1,,,0,,,,,
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",,"=""0441788386""","=""9780441788385""",3,3.92,Ace,Paperback,525,1991,1961,,2013/06/12,,,read,,,,1,,,0,,,,,
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",Alfredo Crespo,"=""0307347974""","=""9780307347978""",4,3.99,DeBolsillo,Mass Market Paperback,175,2004,1953,,2013/05/29,"book-club, books-about-books","book-club (#166), books-about-books (#18)",read,,,,1,,,0,,,,,
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,,2013/06/12,,,read,,,,1,,,0,,,,,
